PDB,RES,SIM,SIMRES
6OBH,2.96,6OMT,2.052
6OMT,2.052,5TSX,1.899
6SVL,1.58,6MEE,1.36
6UCF,1.29,4NZU,1.2
6PYW,1.38,3IB4,1.25
6TDQ,NONE,3IB4,
6TDS,NONE,3IB4,
6TDO,NONE,3CZF,
6TDR,NONE,3CZF,
6TDP,NONE,1K5N,
6NYA,2.065,2GBM,1.55
6S8L,1.801,5IYZ,1.8
6S8K,1.52,6TIW,1.09
6TYH,1.6,4XC4,1.499
6R66,1.3,6R67,1.3
6R67,1.3,5CM1,1.22
6OTC,1.7,6MY4,1.69
6JOU,NONE,5B0Z,
6UHM,2.1,6UHL,1.91
6UHL,1.91,6UHK,1.9
6UHK,1.9,6UHJ,1.5
6UHJ,1.5,5DTZ,1.5
6KL1,0.851,6KL0,0.798
6KL0,0.798,6JGJ,0.78
6O9B,2.2,3MRP,2.1
6P0Z,1.011,2CE2,1
6OF1,2.8,6I6E,1.2
6QKK,2.2,5OBG,2
6K1I,2.75,6K1K,2.2
6K1K,2.2,5X7X,2.184
6NLJ,1.65,6NLF,1.45
6UO1,2.95,2UXC,2.9
6JPS,3.503,2CN6,2.2
6JOB,NONE,4OYN,
6OTR,3.12,4WSD,2.95
6QJ5,2,6T9C,1.95
6T9C,1.95,6D8X,1.9
6QW4,NONE,1LUQ,
5QO0,1.832,5QNS,1.785
5QNS,1.785,5QNQ,1.669
5QNQ,1.669,5QO9,1.59
5QO9,1.59,4WEY,1.55
6UJZ,2.556,4KV8,2.3
6OTZ,2.857,3KK1,2.7
6P1X,2.553,6OR7,2.53
6OR7,2.53,2YNI,2.49
6SO4,1.51,6SOU,1.5
6SOU,1.5,2FST,1.45
6SPL,1.38,6SP9,1.22
6OCW,2.6,3KRD,2.5
6P96,1.6,6PXX,1.5
6V1O,NONE,6PXX,
6SSI,2.59,6HJX,2.5
6OL4,NONE,2CM2,
6S52,2.37,5OWY,1.9
6SL6,1.67,2PCX,1.54
6SHZ,1.24,3D06,1.2
6JZS,1.68,1JPZ,1.65
6TTY,NONE,,
6TTZ,NONE,6N80,
6QY7,NONE,3WAR,
6NU5,1.6,3GR4,1.6
6NS9,1.95,4O5N,1.75
6NSB,1.75,6AOU,1.75
6JKB,NONE,4EYB,
6V1M,NONE,5ZGX,
6QYP,2.2,6QFQ,1.6
6QFQ,1.6,4BPJ,1.599
6OY7,3.04,1SMY,2.7
6SLG,1.33,4ZZN,1.33
6UGY,2.1,5VH5,1.75
6L8T,1.766,4YGV,1.76
6LFE,1.6,4P7F,1.37
6NNJ,2.6,6MTN,2.5
6NNF,2.762,6NNJ,2.6
6UYA,1.74,6EGE,1.401
6NQJ,2,2Z6Z,1.8
6PUE,1.9,6PUG,1.8
6PUG,1.8,6PUD,1.8
6PUD,1.8,2BNU,1.4
6U25,2.61,5NI7,2.45
6R7K,1.54,5APH,1.54
6P5C,NONE,3PV8,
6OWM,1.1,6OA7,1.1
6OA7,1.1,4NG5,1.1
6QRY,1.17,1MNZ,0.99
6KJ8,3.011,1RAF,2.5
6J2K,1.44,6J2B,1.44
6O8A,2.6,4ZXR,1.92
6RMJ,2.65,5UUI,1.4
6S1H,1.05,6S14,1.05
6O4F,1.9,6O4D,1.88
6O4D,1.88,6O4L,1.85
6O4L,1.85,6O4C,1.7
6O4C,1.7,2J6L,1.3
6JNR,NONE,6STI,
6STI,1.892,4ZSH,1.8
6QEN,NONE,5AVD,
6QDS,1.72,5N5W,1.37
6QQT,1.673,6NVR,1.562
6NVR,1.562,6QOK,1.48
6NKQ,2.3,1QG5,2
6KQL,2.89,1SMY,2.7
6KQF,2.45,2BE5,2.4
6NMP,2.9,3X2Q,2
6JUW,NONE,5ZCQ,
6JY4,1.95,2Y69,1.95
6JY3,1.85,5B3S,1.68
6PF9,2.89,3DL5,2.74
6PFC,2.689,6PF8,2.533
6SKR,1.85,1K4F,1.6
6J8M,1.9,5B3S,1.68
6RPN,NONE,5NAI,
6V1P,NONE,5NAI,
6NPE,2.15,3PYY,1.85
6KW7,NONE,6E43,
6KPS,NONE,6E43,
6KOF,NONE,6E43,
6K5A,3.162,3EJZ,2.9
6JLO,2.4,5MX2,2.197
6JLJ,2.15,6JLL,2.15
6JLL,2.15,4UB8,1.95
6QKW,1.512,3R40,1.05
6R1A,1.54,6R1C,1.5
6R1C,1.5,4V2Y,1.4
6R18,1.35,5AMH,1.2
6U4P,NONE,3M4D,
6U49,NONE,7AHL,
6U3T,NONE,7AHL,
6ONF,1.842,4DKR,1.8
6JLK,2.15,5B5E,1.87
6KMC,1.84,4OZB,1.8
6RH9,1.85,5O4I,1.8
6KMK,2.3,3BXI,2.3
6LF7,1.794,6L2V,1.55
6Q0E,2.15,6Q1G,1.75
6Q1G,1.75,6Q19,1.58
6Q19,1.58,2XZA,1.5
6PUH,1.88,6PUL,1.84
6PUL,1.84,6PUD,1.8
6O7M,1.4,3U7Q,1
6PA2,1.9,6PA9,1.88
6PA9,1.88,6PAA,1.85
6PAA,1.85,6PAC,1.6
6PAC,1.6,5MQ5,1.6
6RCG,NONE,6HMR,
6RCH,NONE,6HMR,
6O0B,1.6,6N4M,1.58
6P0P,NONE,2F9N,
6PUM,1.96,5U6Q,1.9
6PUC,1.85,6PUG,1.8
6RBO,1.941,2Q5F,1.9
6QNG,1.67,4QJ0,1.55
6UBW,2,5UAB,1.9
6S7R,3.73,6S2J,2.67
6QMR,2,6QMT,1.8
6QMT,1.8,6FUH,1.37
6O5S,2.801,6O66,2.452
